Time (days), Estradiol (pg/mL)
0.16464891041162377, 8.941979522184312
0.3389830508474587, 22.25255972696246
0.4987893462469748, 24.50511945392492
0.9927360774818415, 26.552901023890783
1.4915254237288147, 27.576791808873708
1.995157384987895, 22.25255972696246
2.4891041162227605, 21.843003412969296
3.0024213075060544, 14.88054607508532
3.49636803874092, 14.675767918088738
3.5738498789346256, 11.808873720136518
3.6658595641646494, 9.965870307167236
3.8208232445520594, 7.918088737201359
4.000000000000001, 5.665529010238913
4.242130750605328, 4.846416382252556
4.498789346246975, 5.051194539249153
